Year,Treatment,SCbiomass_m2
2006,4,"504.262827522537, 558.5912613, 409.1163566, 378.6067657, 438.8244714"
2006,1,"288.09563903875, 367.4409133, 237.8006685, 333.6466492, 375.4480182"
2006,3,"373.571106497972, 290.3013024, 349.0708755, 273.9104584, 329.0456234"
2006,2,"355.520900065139, 346.4392232, 408.9370788, 365.2668954, 248.6532722"
,,
2007,4,"578.485062828212,  818.2416683, 747.0143853, 814.7026083, 842.6406426"
2007,1,"351.984697674154, 623.0853244, 421.2126764, 533.6606695, 583.7488497"
2007,3,"597.839126370593, 446.1163909, 497.9442074, 439.7099458, 678.0521222"
2007,2,"460.66690455813, 565.3380344, 472.3179817, 477.2853422, 325.5919384"
,,
2008,4,"610.632517551056, 600.1437381, 574.5004204, 569.6263285, 730.5417328"
2008,1,"390.048567012046, 596.3145199, 421.3938556, 556.8469015, 507.1683"
2008,3,"485.16148038813, 508.8350438, 481.0130722, 365.6216889, 695.2023568"
2008,2,"526.669822761602, 442.006837, 351.4812228, 445.429811, 450.3103394"
