,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
Plot 1,3010.6,686,2828,2967.8,2919.6,2993.6,2923.9,2897.5,2890.8,2858.2,2903.9,2810.9,2951.1,2964.1,2957.2,2973.8,2996.9,2973.6,3017,3030.7,3012,2998.9,3078.1,3015.6,3044.5,3606.8,3020.2,3031.7,2984.7,2977.8
Plot 2,2501.6,2411.5,2413.6,2395.9,2411.2,2434.3,2414.4,2387.1,2398,2327.5,2378.1,2338.3,2391.2,2414.5,2434.5,2452.9,2439.3,2460.6,2446.2,2458.9,2437.9,2406.6,2424.2,2462.3,2509.1,2523.1,2483.4,2494.4,2449.5,2442
Plot 3,2519.5,2427.6,2409.4,2434.8,2399.7,2507.3,2517.8,2509.9,2406.3,2416.4,2453.5,2443.9,2465.1,2441.5,2468.5,2469.7,2528.6,2479.9,2519.3,2567,2573.7,2506.5,2537.4,2525.2,2562.4,2564.5,2546.6,2567.3,2597.2,2489.8
Plot 4,2283.8,2231.6,2291.9,2307.5,2181.9,2092.1,2151.2,2133.8,2162.7,2103.6,2174.3,2198.2,2176.7,2212.6,2201.8,2235.4,2239.7,2224.7,2269.6,2253.2,2240.1,2206.1,2249.7,2256.9,2310,2272.2,2281.1,2276,2242.4,2235.3
Plot 5,2582.5,2182.6,2224.2,2162.8,2209.4,2308.5,2266.8,2276.3,2275.5,2256.1,2309.1,2237.2,2322.1,2335.1,2307.1,2342.3,2355.7,2304.7,2352.7,2349.2,2370,2341.2,2349.9,2358,2389.7,2364,2378.1,2363.4,2324.9,2314.6
Plot 6,2280.8,2154,2312.6,2204.9,2192.7,2238.3,2244,2209.8,2182.1,2233,2201.6,2231.7,2246.7,2256.1,2199.49,2304.9,2270.7,2222.2,2237.7,2253.4,2286.2,2260.8,2243.6,2251.7,2294,2257.2,2284.4,2240.4,2240,2231.8
Plot 7,2630.2,2336.6,2309.8,2400.6,2447.5,2461.2,2400,2377.8,2368.9,2337.3,2329.9,2387.5,2486.1,2366.6,2400.54,2490.1,2503.4,2376.1,2491,2461.3,2490.2,2475.7,2453.4,2485.3,2529.4,2451.7,2419.14,2392.4,2399.6,2395.1
Plot 8,2545.2,2252.6,2360.3,2400.7,2323.2,2323.9,2238.2,2216.2,2250.2,2212.9,2217.2,2225.5,2324.2,2305.5,2283,2375.5,2331.9,2290.9,2326.1,2332,2332.5,2324.9,2324.5,2335.1,2346.1,2376.7,2336.2,2310,2349.6,2320.9
Plot 9,3519,3413.5,3270.9,3397.4,3381.8,3457.1,3314.1,3332.1,3335.7,3267.7,3298.3,3301.3,3451.2,3390.2,3402.3,3504.7,3594.19,3348.1,3498.6,3392.7,3539.6,3463.6,3476.7,3550.5,3496.6,3510.8,3509.8,3557.8,3472,3412.4
Plot 10,3469.7,3210.2,3238.6,3181.3,3268.3,3308.2,3285.8,3264.2,3265.6,3229.4,3276.9,3296.6,3315.9,3266.2,3284.8,3366.8,3340.3,3313,3356.6,3331,3370.2,3295.6,3338.6,3408,3359.5,3343.4,3356.7,3345.4,3307.1,3227
